State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,620.0,5816.0,0.0,0.0,0.0,SUB-DISTRICT,Pattukkottai,Total,100914.0,396236.0,191332.0,204904.0,39869.0,20288.0,19581.0,45295.0,21967.0,23328.0,969.0,482.0,487.0,286849.0,150491.0,136358.0,109387.0,40841.0,68546.0,160062.0,107697.0,52365.0,132817.0,93381.0,39436.0,24424.0,19051.0,5373.0,51612.0,28796.0,22816.0,2488.0,1281.0,1207.0,54293.0,44253.0,10040.0,27245.0,14316.0,12929.0,3034.0,1902.0,1132.0,17389.0,8157.0,9232.0,822.0,289.0,533.0,6000.0,3968.0,2032.0,23731.0,12610.0,11121.0,2630.0,1633.0,997.0,15394.0,7303.0,8091.0,670.0,242.0,428.0,5037.0,3432.0,1605.0,3514.0,1706.0,1808.0,404.0,269.0,135.0,1995.0,854.0,1141.0,152.0,47.0,105.0,963.0,536.0,427.0,236174.0,83635.0,152539.0,,
33.0,620.0,5816.0,0.0,0.0,0.0,SUB-DISTRICT,Pattukkottai,Rural,71901.0,275769.0,132371.0,143398.0,27008.0,13750.0,13258.0,38556.0,18649.0,19907.0,306.0,159.0,147.0,192291.0,101663.0,90628.0,83478.0,30708.0,52770.0,120671.0,75576.0,45095.0,97327.0,63785.0,33542.0,23427.0,18134.0,5293.0,48420.0,26608.0,21812.0,1610.0,806.0,804.0,23870.0,18237.0,5633.0,23344.0,11791.0,11553.0,2872.0,1772.0,1100.0,16578.0,7684.0,8894.0,604.0,226.0,378.0,3290.0,2109.0,1181.0,20282.0,10373.0,9909.0,2480.0,1514.0,966.0,14694.0,6894.0,7800.0,504.0,196.0,308.0,2604.0,1769.0,835.0,3062.0,1418.0,1644.0,392.0,258.0,134.0,1884.0,790.0,1094.0,100.0,30.0,70.0,686.0,340.0,346.0,155098.0,56795.0,98303.0,,
33.0,620.0,5816.0,0.0,0.0,0.0,SUB-DISTRICT,Pattukkottai,Urban,29013.0,120467.0,58961.0,61506.0,12861.0,6538.0,6323.0,6739.0,3318.0,3421.0,663.0,323.0,340.0,94558.0,48828.0,45730.0,25909.0,10133.0,15776.0,39391.0,32121.0,7270.0,35490.0,29596.0,5894.0,997.0,917.0,80.0,3192.0,2188.0,1004.0,878.0,475.0,403.0,30423.0,26016.0,4407.0,3901.0,2525.0,1376.0,162.0,130.0,32.0,811.0,473.0,338.0,218.0,63.0,155.0,2710.0,1859.0,851.0,3449.0,2237.0,1212.0,150.0,119.0,31.0,700.0,409.0,291.0,166.0,46.0,120.0,2433.0,1663.0,770.0,452.0,288.0,164.0,12.0,11.0,1.0,111.0,64.0,47.0,52.0,17.0,35.0,277.0,196.0,81.0,81076.0,26840.0,54236.0,,
33.0,620.0,5816.0,638967.0,0.0,0.0,VILLAGE,Nemmeli,Rural,329.0,1144.0,550.0,594.0,104.0,46.0,58.0,109.0,57.0,52.0,0.0,0.0,0.0,759.0,417.0,342.0,385.0,133.0,252.0,504.0,331.0,173.0,440.0,292.0,148.0,214.0,168.0,46.0,179.0,94.0,85.0,2.0,0.0,2.0,45.0,30.0,15.0,64.0,39.0,25.0,49.0,31.0,18.0,6.0,4.0,2.0,1.0,0.0,1.0,8.0,4.0,4.0,57.0,33.0,24.0,47.0,29.0,18.0,3.0,2.0,1.0,1.0,0.0,1.0,6.0,2.0,4.0,7.0,6.0,1.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,640.0,219.0,421.0,,
33.0,620.0,5816.0,638968.0,0.0,0.0,VILLAGE,Keelakurichi West,Rural,288.0,1072.0,499.0,573.0,109.0,57.0,52.0,0.0,0.0,0.0,9.0,5.0,4.0,717.0,371.0,346.0,355.0,128.0,227.0,516.0,281.0,235.0,514.0,280.0,234.0,150.0,107.0,43.0,293.0,126.0,167.0,0.0,0.0,0.0,71.0,47.0,24.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,218.0,338.0,,
33.0,620.0,5816.0,638969.0,0.0,0.0,VILLAGE,Keelakurichi East,Rural,743.0,2762.0,1310.0,1452.0,289.0,140.0,149.0,572.0,285.0,287.0,0.0,0.0,0.0,1918.0,1003.0,915.0,844.0,307.0,537.0,1371.0,732.0,639.0,1098.0,620.0,478.0,244.0,193.0,51.0,747.0,357.0,390.0,6.0,6.0,0.0,101.0,64.0,37.0,273.0,112.0,161.0,30.0,18.0,12.0,236.0,90.0,146.0,2.0,0.0,2.0,5.0,4.0,1.0,261.0,105.0,156.0,30.0,18.0,12.0,224.0,83.0,141.0,2.0,0.0,2.0,5.0,4.0,1.0,12.0,7.0,5.0,0.0,0.0,0.0,12.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.0,578.0,813.0,,
33.0,620.0,5816.0,638970.0,0.0,0.0,VILLAGE,Avaikkottai,Rural,333.0,1200.0,570.0,630.0,109.0,52.0,57.0,251.0,119.0,132.0,0.0,0.0,0.0,902.0,471.0,431.0,298.0,99.0,199.0,500.0,352.0,148.0,480.0,341.0,139.0,169.0,165.0,4.0,249.0,135.0,114.0,7.0,3.0,4.0,55.0,38.0,17.0,20.0,11.0,9.0,2.0,2.0,0.0,15.0,6.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,11.0,8.0,3.0,1.0,1.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,9.0,3.0,6.0,1.0,1.0,0.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,218.0,482.0,,
33.0,620.0,5816.0,638971.0,0.0,0.0,VILLAGE,Bavajikkottai,Rural,208.0,773.0,347.0,426.0,73.0,40.0,33.0,196.0,85.0,111.0,0.0,0.0,0.0,576.0,281.0,295.0,197.0,66.0,131.0,385.0,208.0,177.0,379.0,205.0,174.0,79.0,59.0,20.0,250.0,109.0,141.0,1.0,1.0,0.0,49.0,36.0,13.0,6.0,3.0,3.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,3.0,3.0,1.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,139.0,249.0,,
33.0,620.0,5816.0,638972.0,0.0,0.0,VILLAGE,Balajireguramasamudram,Rural,100.0,359.0,165.0,194.0,41.0,24.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,115.0,124.0,120.0,50.0,70.0,169.0,102.0,67.0,169.0,102.0,67.0,18.0,17.0,1.0,112.0,50.0,62.0,6.0,5.0,1.0,33.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,63.0,127.0,,
33.0,620.0,5816.0,638973.0,0.0,0.0,VILLAGE,Kalichankkottai,Rural,116.0,410.0,186.0,224.0,43.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,136.0,121.0,153.0,50.0,103.0,141.0,96.0,45.0,140.0,95.0,45.0,48.0,47.0,1.0,78.0,38.0,40.0,8.0,8.0,0.0,6.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,90.0,179.0,,
33.0,620.0,5816.0,638974.0,0.0,0.0,VILLAGE,Kaniyakurichi,Rural,271.0,1082.0,522.0,560.0,115.0,58.0,57.0,229.0,114.0,115.0,0.0,0.0,0.0,788.0,404.0,384.0,294.0,118.0,176.0,519.0,317.0,202.0,516.0,315.0,201.0,118.0,103.0,15.0,291.0,135.0,156.0,17.0,9.0,8.0,90.0,68.0,22.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,205.0,358.0,,
33.0,620.0,5816.0,638975.0,0.0,0.0,VILLAGE,Olayakunnam,Rural,392.0,1500.0,718.0,782.0,144.0,71.0,73.0,400.0,179.0,221.0,0.0,0.0,0.0,959.0,523.0,436.0,541.0,195.0,346.0,743.0,432.0,311.0,733.0,425.0,308.0,147.0,111.0,36.0,548.0,281.0,267.0,0.0,0.0,0.0,38.0,33.0,5.0,10.0,7.0,3.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,10.0,7.0,3.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,286.0,471.0,,
33.0,620.0,5816.0,638976.0,0.0,0.0,VILLAGE,Mohur,Rural,263.0,972.0,449.0,523.0,102.0,55.0,47.0,93.0,42.0,51.0,0.0,0.0,0.0,637.0,327.0,310.0,335.0,122.0,213.0,419.0,260.0,159.0,408.0,252.0,156.0,102.0,98.0,4.0,238.0,98.0,140.0,5.0,2.0,3.0,63.0,54.0,9.0,11.0,8.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,4.0,4.0,0.0,8.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,553.0,189.0,364.0,,
33.0,620.0,5816.0,638977.0,0.0,0.0,VILLAGE,Andami,Rural,353.0,1208.0,553.0,655.0,102.0,57.0,45.0,158.0,69.0,89.0,0.0,0.0,0.0,856.0,421.0,435.0,352.0,132.0,220.0,592.0,334.0,258.0,451.0,279.0,172.0,123.0,89.0,34.0,176.0,88.0,88.0,1.0,1.0,0.0,151.0,101.0,50.0,141.0,55.0,86.0,7.0,2.0,5.0,113.0,44.0,69.0,3.0,1.0,2.0,18.0,8.0,10.0,128.0,51.0,77.0,6.0,1.0,5.0,103.0,42.0,61.0,2.0,1.0,1.0,17.0,7.0,10.0,13.0,4.0,9.0,1.0,1.0,0.0,10.0,2.0,8.0,1.0,0.0,1.0,1.0,1.0,0.0,616.0,219.0,397.0,,
33.0,620.0,5816.0,638978.0,0.0,0.0,VILLAGE,Karuppur,Rural,395.0,1406.0,674.0,732.0,130.0,78.0,52.0,281.0,136.0,145.0,0.0,0.0,0.0,1002.0,516.0,486.0,404.0,158.0,246.0,609.0,396.0,213.0,586.0,385.0,201.0,124.0,91.0,33.0,402.0,244.0,158.0,2.0,1.0,1.0,58.0,49.0,9.0,23.0,11.0,12.0,5.0,5.0,0.0,16.0,5.0,11.0,0.0,0.0,0.0,2.0,1.0,1.0,12.0,7.0,5.0,5.0,5.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,4.0,7.0,0.0,0.0,0.0,10.0,3.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,797.0,278.0,519.0,,
33.0,620.0,5816.0,638979.0,0.0,0.0,VILLAGE,Pulavanji,Rural,561.0,2263.0,1143.0,1120.0,229.0,130.0,99.0,294.0,145.0,149.0,0.0,0.0,0.0,1666.0,907.0,759.0,597.0,236.0,361.0,978.0,699.0,279.0,704.0,546.0,158.0,322.0,284.0,38.0,254.0,164.0,90.0,6.0,4.0,2.0,122.0,94.0,28.0,274.0,153.0,121.0,16.0,3.0,13.0,237.0,136.0,101.0,3.0,0.0,3.0,18.0,14.0,4.0,264.0,150.0,114.0,16.0,3.0,13.0,230.0,134.0,96.0,3.0,0.0,3.0,15.0,13.0,2.0,10.0,3.0,7.0,0.0,0.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,1285.0,444.0,841.0,,
33.0,620.0,5816.0,638980.0,0.0,0.0,VILLAGE,Mahadevapuram,Rural,110.0,439.0,208.0,231.0,62.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,97.0,101.0,241.0,111.0,130.0,214.0,102.0,112.0,10.0,5.0,5.0,0.0,0.0,0.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,97.0,107.0,7.0,3.0,4.0,197.0,94.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,96.0,107.0,7.0,3.0,4.0,196.0,93.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,106.0,119.0,,
33.0,620.0,5816.0,638981.0,0.0,0.0,VILLAGE,Musiri,Rural,318.0,1126.0,538.0,588.0,133.0,65.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0,306.0,260.0,560.0,232.0,328.0,691.0,315.0,376.0,40.0,28.0,12.0,0.0,0.0,0.0,12.0,11.0,1.0,9.0,4.0,5.0,19.0,13.0,6.0,651.0,287.0,364.0,0.0,0.0,0.0,644.0,286.0,358.0,5.0,1.0,4.0,2.0,0.0,2.0,642.0,284.0,358.0,0.0,0.0,0.0,636.0,283.0,353.0,4.0,1.0,3.0,2.0,0.0,2.0,9.0,3.0,6.0,0.0,0.0,0.0,8.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,435.0,223.0,212.0,,
33.0,620.0,5816.0,638982.0,0.0,0.0,VILLAGE,Alathur,Rural,1292.0,4733.0,2163.0,2570.0,475.0,238.0,237.0,481.0,236.0,245.0,0.0,0.0,0.0,3281.0,1656.0,1625.0,1452.0,507.0,945.0,2134.0,1117.0,1017.0,564.0,321.0,243.0,117.0,83.0,34.0,202.0,88.0,114.0,18.0,6.0,12.0,227.0,144.0,83.0,1570.0,796.0,774.0,438.0,255.0,183.0,888.0,436.0,452.0,98.0,14.0,84.0,146.0,91.0,55.0,1222.0,606.0,616.0,293.0,158.0,135.0,752.0,369.0,383.0,81.0,10.0,71.0,96.0,69.0,27.0,348.0,190.0,158.0,145.0,97.0,48.0,136.0,67.0,69.0,17.0,4.0,13.0,50.0,22.0,28.0,2599.0,1046.0,1553.0,,
33.0,620.0,5816.0,638983.0,0.0,0.0,VILLAGE,Vadugankuthagai,Rural,158.0,610.0,296.0,314.0,53.0,25.0,28.0,8.0,5.0,3.0,0.0,0.0,0.0,375.0,213.0,162.0,235.0,83.0,152.0,421.0,205.0,216.0,17.0,14.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,10.0,3.0,404.0,191.0,213.0,0.0,0.0,0.0,393.0,184.0,209.0,4.0,3.0,1.0,7.0,4.0,3.0,404.0,191.0,213.0,0.0,0.0,0.0,393.0,184.0,209.0,4.0,3.0,1.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,91.0,98.0,,
33.0,620.0,5816.0,638984.0,0.0,0.0,VILLAGE,Sembalur,Rural,331.0,1175.0,541.0,634.0,110.0,49.0,61.0,125.0,56.0,69.0,0.0,0.0,0.0,739.0,391.0,348.0,436.0,150.0,286.0,550.0,309.0,241.0,426.0,255.0,171.0,88.0,70.0,18.0,245.0,127.0,118.0,1.0,1.0,0.0,92.0,57.0,35.0,124.0,54.0,70.0,48.0,25.0,23.0,73.0,27.0,46.0,0.0,0.0,0.0,3.0,2.0,1.0,122.0,53.0,69.0,48.0,25.0,23.0,73.0,27.0,46.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,625.0,232.0,393.0,,
33.0,620.0,5816.0,638985.0,0.0,0.0,VILLAGE,Ettupulikkadu,Rural,467.0,1779.0,811.0,968.0,216.0,105.0,111.0,41.0,16.0,25.0,0.0,0.0,0.0,1019.0,533.0,486.0,760.0,278.0,482.0,982.0,461.0,521.0,944.0,440.0,504.0,111.0,81.0,30.0,797.0,337.0,460.0,1.0,0.0,1.0,35.0,22.0,13.0,38.0,21.0,17.0,1.0,1.0,0.0,32.0,16.0,16.0,1.0,1.0,0.0,4.0,3.0,1.0,37.0,20.0,17.0,1.0,1.0,0.0,31.0,15.0,16.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,797.0,350.0,447.0,,
33.0,620.0,5816.0,638986.0,0.0,0.0,VILLAGE,Karambayam,Rural,934.0,3539.0,1653.0,1886.0,332.0,178.0,154.0,993.0,466.0,527.0,0.0,0.0,0.0,2450.0,1261.0,1189.0,1089.0,392.0,697.0,1489.0,958.0,531.0,1354.0,870.0,484.0,558.0,424.0,134.0,506.0,241.0,265.0,9.0,8.0,1.0,281.0,197.0,84.0,135.0,88.0,47.0,48.0,42.0,6.0,61.0,27.0,34.0,4.0,3.0,1.0,22.0,16.0,6.0,91.0,69.0,22.0,47.0,41.0,6.0,21.0,10.0,11.0,3.0,3.0,0.0,20.0,15.0,5.0,44.0,19.0,25.0,1.0,1.0,0.0,40.0,17.0,23.0,1.0,0.0,1.0,2.0,1.0,1.0,2050.0,695.0,1355.0,,
33.0,620.0,5816.0,638987.0,0.0,0.0,VILLAGE,Veppankkadu Ukkadai,Rural,160.0,647.0,328.0,319.0,63.0,33.0,30.0,201.0,102.0,99.0,0.0,0.0,0.0,455.0,256.0,199.0,192.0,72.0,120.0,303.0,192.0,111.0,29.0,25.0,4.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,24.0,20.0,4.0,274.0,167.0,107.0,69.0,59.0,10.0,159.0,82.0,77.0,44.0,24.0,20.0,2.0,2.0,0.0,240.0,152.0,88.0,69.0,59.0,10.0,125.0,67.0,58.0,44.0,24.0,20.0,2.0,2.0,0.0,34.0,15.0,19.0,0.0,0.0,0.0,34.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,136.0,208.0,,
33.0,620.0,5816.0,638988.0,0.0,0.0,VILLAGE,Veppankkadu,Rural,226.0,916.0,447.0,469.0,103.0,58.0,45.0,12.0,6.0,6.0,2.0,2.0,0.0,605.0,328.0,277.0,311.0,119.0,192.0,519.0,294.0,225.0,376.0,219.0,157.0,185.0,118.0,67.0,106.0,48.0,58.0,17.0,8.0,9.0,68.0,45.0,23.0,143.0,75.0,68.0,72.0,40.0,32.0,53.0,26.0,27.0,4.0,2.0,2.0,14.0,7.0,7.0,143.0,75.0,68.0,72.0,40.0,32.0,53.0,26.0,27.0,4.0,2.0,2.0,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,153.0,244.0,,
33.0,620.0,5816.0,638989.0,0.0,0.0,VILLAGE,Nambivayal,Rural,547.0,2237.0,1093.0,1144.0,212.0,112.0,100.0,939.0,462.0,477.0,0.0,0.0,0.0,1622.0,880.0,742.0,615.0,213.0,402.0,1136.0,677.0,459.0,1060.0,647.0,413.0,261.0,191.0,70.0,668.0,354.0,314.0,16.0,10.0,6.0,115.0,92.0,23.0,76.0,30.0,46.0,37.0,12.0,25.0,23.0,6.0,17.0,1.0,0.0,1.0,15.0,12.0,3.0,69.0,24.0,45.0,35.0,11.0,24.0,23.0,6.0,17.0,1.0,0.0,1.0,10.0,7.0,3.0,7.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1101.0,416.0,685.0,,
33.0,620.0,5816.0,638990.0,0.0,0.0,VILLAGE,Kollukkadu,Rural,475.0,1863.0,878.0,985.0,179.0,89.0,90.0,365.0,189.0,176.0,3.0,1.0,2.0,1307.0,695.0,612.0,556.0,183.0,373.0,882.0,471.0,411.0,859.0,460.0,399.0,357.0,208.0,149.0,428.0,197.0,231.0,6.0,1.0,5.0,68.0,54.0,14.0,23.0,11.0,12.0,3.0,1.0,2.0,15.0,7.0,8.0,1.0,1.0,0.0,4.0,2.0,2.0,21.0,11.0,10.0,1.0,1.0,0.0,15.0,7.0,8.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0,407.0,574.0,,
33.0,620.0,5816.0,638991.0,0.0,0.0,VILLAGE,Anandagopalapuram  Vadapathi,Rural,49.0,197.0,97.0,100.0,20.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,82.0,64.0,51.0,15.0,36.0,109.0,54.0,55.0,109.0,54.0,55.0,71.0,34.0,37.0,35.0,17.0,18.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,43.0,45.0,,
33.0,620.0,5816.0,638992.0,0.0,0.0,VILLAGE,Anandagopalapuram  Thenpathi,Rural,239.0,999.0,495.0,504.0,105.0,56.0,49.0,50.0,24.0,26.0,0.0,0.0,0.0,740.0,405.0,335.0,259.0,90.0,169.0,537.0,301.0,236.0,531.0,298.0,233.0,64.0,54.0,10.0,394.0,183.0,211.0,5.0,4.0,1.0,68.0,57.0,11.0,6.0,3.0,3.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0,194.0,268.0,,
33.0,620.0,5816.0,638993.0,0.0,0.0,VILLAGE,Padirankottai Thenpathi,Rural,270.0,938.0,469.0,469.0,69.0,34.0,35.0,249.0,132.0,117.0,0.0,0.0,0.0,725.0,387.0,338.0,213.0,82.0,131.0,553.0,320.0,233.0,552.0,319.0,233.0,75.0,66.0,9.0,447.0,231.0,216.0,3.0,3.0,0.0,27.0,19.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,149.0,236.0,,
33.0,620.0,5816.0,638994.0,0.0,0.0,VILLAGE,Padirankottai Vadapathi,Rural,318.0,1263.0,602.0,661.0,178.0,91.0,87.0,446.0,210.0,236.0,0.0,0.0,0.0,862.0,459.0,403.0,401.0,143.0,258.0,563.0,333.0,230.0,536.0,324.0,212.0,164.0,124.0,40.0,284.0,133.0,151.0,1.0,1.0,0.0,87.0,66.0,21.0,27.0,9.0,18.0,5.0,0.0,5.0,22.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,9.0,1.0,0.0,1.0,12.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,9.0,4.0,0.0,4.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,269.0,431.0,,
33.0,620.0,5816.0,638995.0,0.0,0.0,VILLAGE,Adambai North,Rural,534.0,1975.0,993.0,982.0,188.0,104.0,84.0,135.0,74.0,61.0,0.0,0.0,0.0,1423.0,770.0,653.0,552.0,223.0,329.0,1002.0,615.0,387.0,995.0,610.0,385.0,337.0,188.0,149.0,487.0,293.0,194.0,3.0,1.0,2.0,168.0,128.0,40.0,7.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,5.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,973.0,378.0,595.0,,
33.0,620.0,5816.0,638996.0,0.0,0.0,VILLAGE,Adambai South,Rural,520.0,1981.0,960.0,1021.0,184.0,96.0,88.0,410.0,206.0,204.0,0.0,0.0,0.0,1221.0,678.0,543.0,760.0,282.0,478.0,1060.0,585.0,475.0,1046.0,575.0,471.0,130.0,85.0,45.0,696.0,328.0,368.0,6.0,5.0,1.0,214.0,157.0,57.0,14.0,10.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,9.0,3.0,8.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,921.0,375.0,546.0,,
